method factor replica nl ei1 ei2 fp fn rf
iqtree 7 7 1000 992 997 311 306 0.310206
raxml 7 7 1000 992 997 309 304 0.308195
fastTree 8 7 1000 992 686 379 685 0.634088
iqtree 8 7 1000 992 997 699 694 0.700352
raxml 8 7 1000 992 997 689 684 0.690297
fastTree 9 7 1000 992 196 127 923 0.883838
iqtree 9 7 1000 992 997 927 922 0.929613
raxml 9 7 1000 992 997 918 913 0.920563
fastTree 0 8 1000 992 997 980 975 0.982906
iqtree 0 8 1000 992 997 987 982 0.989945
raxml 0 8 1000 992 997 985 980 0.987934
fastTree 1 8 1000 992 997 950 945 0.952740
iqtree 1 8 1000 992 997 956 951 0.958773
raxml 1 8 1000 992 997 977 972 0.979889
fastTree 2 8 1000 992 997 837 832 0.839115
iqtree 2 8 1000 992 997 809 804 0.810960
raxml 2 8 1000 992 997 912 907 0.914530
fastTree 3 8 1000 992 997 468 463 0.468074
iqtree 3 8 1000 992 997 369 364 0.368527
raxml 3 8 1000 992 997 587 582 0.587733
fastTree 4 8 1000 992 997 58 53 0.055807
iqtree 4 8 1000 992 997 54 49 0.051785
raxml 4 8 1000 992 997 67 62 0.064857
fastTree 5 8 1000 992 997 44 39 0.041730
iqtree 5 8 1000 992 997 42 37 0.039718
raxml 5 8 1000 992 997 46 41 0.043741
fastTree 6 8 1000 992 995 85 82 0.084046
iqtree 6 8 1000 992 997 78 73 0.075918
raxml 6 8 1000 992 997 94 89 0.092006
fastTree 7 8 1000 992 970 272 294 0.288481
iqtree 7 8 1000 992 997 314 309 0.313223
raxml 7 8 1000 992 997 301 296 0.300151
fastTree 8 8 1000 992 683 370 679 0.626269
iqtree 8 8 1000 992 997 684 679 0.685269
raxml 8 8 1000 992 997 674 669 0.675214
fastTree 9 8 1000 992 208 139 923 0.885000
iqtree 9 8 1000 992 997 927 922 0.929613
raxml 9 8 1000 992 997 916 911 0.918552
fastTree 0 9 1000 994 997 987 984 0.989955
iqtree 0 9 1000 994 997 988 985 0.990959
raxml 0 9 1000 994 997 990 987 0.992968
fastTree 1 9 1000 994 997 952 949 0.954797
iqtree 1 9 1000 994 997 947 944 0.949774
raxml 1 9 1000 994 997 968 965 0.970869
fastTree 2 9 1000 994 997 848 845 0.850326
iqtree 2 9 1000 994 997 782 779 0.784028
raxml 2 9 1000 994 997 900 897 0.902562
fastTree 3 9 1000 994 997 452 449 0.452536
iqtree 3 9 1000 994 997 424 421 0.424410
raxml 3 9 1000 994 997 622 619 0.623305
fastTree 4 9 1000 994 997 51 48 0.049724
iqtree 4 9 1000 994 997 50 47 0.048719
raxml 4 9 1000 994 997 69 66 0.067805
fastTree 5 9 1000 994 997 42 39 0.040683
iqtree 5 9 1000 994 997 38 35 0.036665
raxml 5 9 1000 994 997 45 42 0.043697
fastTree 6 9 1000 994 996 95 93 0.094472
iqtree 6 9 1000 994 997 87 84 0.085886
raxml 6 9 1000 994 997 102 99 0.100954
fastTree 7 9 1000 994 959 249 284 0.272913
iqtree 7 9 1000 994 997 292 289 0.291813
raxml 7 9 1000 994 997 286 283 0.285786
fastTree 8 9 1000 994 669 345 670 0.610343
iqtree 8 9 1000 994 997 674 671 0.675540
raxml 8 9 1000 994 997 653 650 0.654445
fastTree 9 9 1000 994 200 128 922 0.879397
iqtree 9 9 1000 994 997 926 923 0.928679
raxml 9 9 1000 994 997 915 912 0.917629
