MODL,REPL,MTHD,NL,TRUE_NE,ESTI_NE,FN,FP,RF
500M5,R16,FastTree-Dbl,500,484,497,42,29,0.072375
500M5,R16,RAxML+fastTree,500,484,497,36,23,0.060143
500M5,R17,RAxML,500,490,497,34,27,0.061803
500M5,R17,FastTree-Dbl,500,490,497,38,31,0.069909
500M5,R17,RAxML+fastTree,500,490,497,34,27,0.061803
500M5,R18,RAxML,500,491,497,28,22,0.050607
500M5,R18,FastTree-Dbl,500,491,497,27,21,0.048583
500M5,R18,RAxML+fastTree,500,491,497,26,20,0.046559
500M5,R19,RAxML,500,485,497,36,24,0.061100
500M5,R19,FastTree-Dbl,500,485,497,39,27,0.067210
500M5,R19,RAxML+fastTree,500,485,497,33,21,0.054990
